Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Afghanistan,56.06,,57.06,,57.63,,58.05,,58.34,,59.20,,60.06,,,,,
Albania,59.96,,61.90,,63.40,,65.07,,66.81,,68.66,,70.45,,,,,
Algeria,516.60,,552.69,,585.17,,614.78,,652.68,,693.21,,738.95,,,,,
Angola,395.65,,407.41,,420.97,,444.78,,465.65,,470.40,,475.50,,,,,
Antigua and Barbuda,3.09,,3.09,,2.99,,3.01,,3.04,,3.15,,3.51,,,,,
Argentina,"1,034.04",,"1,065.95",,"1,088.71",,"1,112.87",,"1,130.23",,"1,156.58",,"1,177.63",,,,,
Armenia,36.90,,37.83,,38.61,,39.33,,39.58,,39.88,,40.53,,,,,
Aruba,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,
Australia,"2,374.84",,"2,479.06",,"2,566.71",,"2,637.64",,"2,690.84",,"2,742.34",,"2,794.88",,,,,
Austria,"1,087.11",,"1,097.83",,"1,107.06",,"1,117.02",,"1,129.71",,"1,144.42",,"1,161.72",,,,,
Azerbaijan,54.33,,55.99,,61.98,,69.44,,75.28,,80.84,,81.77,,,,,
"Bahamas, The",35.78,,36.66,,37.89,,38.26,,38.71,,39.42,,39.96,,,,,
Bahrain,97.21,,104.46,,112.27,,117.91,,125.05,,132.82,,141.53,,,,,
Bangladesh,640.97,,690.67,,746.41,,804.70,,870.04,,939.90,,"1,015.95",,,,,
Barbados,11.67,,11.89,,12.05,,12.20,,12.31,,12.13,,11.91,,,,,
Belarus,243.68,,261.08,,,,,,,,,,,,,,,
Belgium,"1,248.36",,"1,262.96",,"1,280.36",,"1,300.19",,"1,323.11",,"1,345.39",,"1,368.31",,,,,
Belize,3.38,,3.43,,3.47,,3.58,,3.73,,3.86,,4.02,,,,,
Benin,20.76,,22.89,,25.16,,26.98,,28.95,,31.28,,34.49,,,,,
Bhutan,13.60,,14.25,,15.31,,16.65,,18.06,,19.26,,20.23,,,,,
Bolivia,52.19,,53.95,,56.08,,57.81,,59.68,,61.80,,65.43,,,,,
Bosnia and Herzegovina,44.79,,46.91,,49.21,,51.88,,54.72,,57.94,,61.44,,,,,
Botswana,44.11,,48.55,,52.29,,56.50,,60.56,,63.69,,67.33,,,,,
Brazil,"5,148.10",,"5,385.57",,"5,579.77",,"5,708.95",,"5,785.44",,"5,854.58",,"5,943.16",,,,,
Brunei Darussalam,54.24,,59.10,,60.53,,62.63,,63.82,,65.82,,70.04,,,,,
Bulgaria,245.83,,254.01,,260.93,,266.17,,274.45,,283.52,,291.93,,,,,
Burkina Faso,18.61,,20.41,,22.11,,24.33,,26.99,,29.46,,32.53,,,,,
Burundi,4.30,,4.38,,4.85,,5.18,,5.49,,5.74,,6.14,,,,,
Cabo Verde,6.38,,6.47,,6.76,,6.96,,7.29,,7.60,,8.03,,,,,
Cambodia,28.88,,31.49,,35.11,,40.67,,46.49,,53.04,,59.66,,,,,
Cameroon,82.95,,86.56,,90.67,,95.23,,99.07,,102.78,,108.07,,,,,
