Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Grenada,1.27,,1.36,,1.45,,1.50,,1.57,,1.64,,1.67,,,,,
Guatemala,110.45,,115.36,,120.08,,123.29,,127.02,,131.10,,136.15,,,,,
Guinea,22.21,,23.03,,23.91,,26.50,,29.23,,31.04,,32.79,,,,,
Guinea-Bissau,2.89,,2.92,,3.10,,3.29,,3.49,,3.60,,3.77,,,,,
Guyana,8.57,,8.71,,8.77,,9.10,,9.44,,9.86,,10.39,,,,,
Haiti,17.01,,17.49,,17.70,,17.96,,18.17,,18.44,,18.27,,,,,
Honduras,43.27,,44.59,,46.30,,48.10,,50.43,,52.30,,53.69,,,,,
Hong Kong SAR,327.89,,336.94,,344.99,,352.47,,365.84,,376.25,,371.55,,,,,
Hungary,250.21,,260.58,,270.41,,276.10,,288.40,,304.09,,318.01,,,,,
Iceland,15.87,,16.20,,16.97,,18.10,,18.92,,19.65,,20.03,,,,,
India,"6,163.28",,"6,620.00",,"7,149.35",,"7,739.62",,"8,284.78",,"8,791.78",,"9,163.54",,,,,
Indonesia,"2,316.49",,"2,432.47",,"2,551.08",,"2,679.48",,"2,815.33",,"2,960.87",,"3,109.64",,,,,
Iran,931.90,,974.80,,961.93,,"1,090.79",,"1,131.75",,"1,070.42",,"1,000.74",,,,,
Iraq,376.46,,377.20,,395.02,,449.48,,432.55,,436.24,,455.63,,,,,
Ireland,248.25,,269.37,,337.74,,343.51,,375.82,,410.73,,434.88,,,,,
Israel,295.87,,308.22,,314.67,,326.71,,338.37,,350.51,,362.44,,,,,
Italy,"2,424.85",,"2,426.54",,"2,442.56",,"2,476.88",,"2,519.74",,"2,540.47",,"2,549.10",,,,,
Jamaica,23.05,,23.21,,23.42,,23.75,,23.98,,24.44,,24.65,,,,,
Japan,"4,977.60",,"4,996.26",,"5,057.36",,"5,083.75",,"5,193.98",,"5,208.32",,"5,243.28",,,,,
Jordan,93.81,,96.98,,99.40,,101.39,,103.50,,105.50,,107.57,,,,,
Kazakhstan,424.38,,442.20,,447.51,,452.43,,470.98,,490.29,,512.35,,,,,
Kenya,164.34,,173.14,,183.04,,193.80,,203.12,,215.95,,227.54,,,,,
Kiribati,0.22,,0.22,,0.24,,0.24,,0.26,,0.26,,0.27,,,,,
Korea,"1,866.93",,"1,926.72",,"1,980.85",,"2,039.22",,"2,103.65",,"2,164.81",,"2,208.96",,,,,
Kuwait,230.06,,231.21,,232.58,,239.39,,228.11,,230.95,,231.94,,,,,
Kyrgyz Republic,31.60,,32.87,,34.15,,35.63,,37.32,,38.72,,40.46,,,,,
Lao P.D.R.,38.24,,41.15,,44.14,,47.24,,50.50,,53.65,,56.15,,,,,
Latvia,50.08,,50.62,,52.64,,53.89,,55.65,,57.88,,59.07,,,,,
Lebanon,103.30,,105.84,,106.06,,107.69,,108.60,,106.51,,100.51,,,,,
Lesotho,5.79,,5.96,,6.12,,6.43,,6.34,,6.31,,6.41,,,,,
Liberia,5.52,,5.81,,6.35,,6.32,,6.48,,6.55,,6.40,,,,,
Libya,152.42,,76.05,,41.45,,34.78,,57.04,,67.24,,73.89,,,,,
Lithuania,84.56,,87.55,,89.32,,91.57,,95.49,,99.25,,103.56,,,,,
Luxembourg,57.80,,60.28,,62.88,,65.76,,66.94,,69.04,,70.63,,,,,
Macao SAR,69.24,,68.41,,53.64,,53.25,,58.52,,61.70,,58.79,,,,,
Madagascar,36.22,,37.43,,38.60,,40.14,,41.72,,43.06,,44.96,,,,,
Malawi,17.12,,18.18,,18.78,,19.28,,20.29,,21.07,,22.18,,,,,
Malaysia,610.40,,647.07,,680.01,,710.27,,751.56,,787.41,,821.29,,,,,
Maldives,7.59,,8.14,,8.38,,8.91,,9.55,,10.33,,11.05,,,,,
Mali,30.79,,33.19,,35.68,,38.86,,41.47,,44.28,,47.22,,,,,
Malta,11.30,,12.31,,13.66,,14.45,,15.40,,16.53,,17.30,,,,,
Marshall Islands,0.20,,0.20,,0.20,,0.20,,0.21,,0.25,,0.26,,,,,
Mauritania,18.35,,19.13,,20.16,,20.41,,21.13,,21.57,,22.85,,,,,
Mauritius,24.31,,25.22,,26.11,,27.11,,28.15,,29.21,,30.24,,,,,
Mexico,"2,117.44",,"2,176.81",,"2,248.39",,"2,313.83",,"2,362.84",,"2,413.31",,"2,405.97",,,,,
Micronesia,0.37,,0.36,,0.38,,0.38,,0.39,,0.39,,0.39,,,,,
Moldova,32.25,,33.86,,33.75,,35.23,,36.89,,38.47,,39.80,,,,,
