,0
2786,2078.007759923775
2901,2093.014926292119
5004,2082.4035262636617
5038,2073.4115010752007
5346,2064.1543465025316
6016,2070.818551692416
6120,2079.706490228044
9563,2049.3276445580814
9581,2091.7979538306663
9877,2049.0960263890756
13194,2072.43751146395
13585,2089.904682258264
13769,2072.690946840647
15776,2049.6017724274657
19468,2087.8905433047594
22019,2076.637884172963
22567,2058.9285493679004
24094,2070.3328500199523
25818,2069.564993500593
26647,2078.0498563246006
29956,2083.6145245156254
30535,2069.369254014632
33039,2059.5480790508964
34871,2066.840776046888
36954,2084.4889115467477
38247,2069.489792126611
41330,2074.8897874132695
42646,2082.506001201751
42785,2069.2748395249246
43322,2079.015015812776
44325,2040.411901358183
44652,2094.0619169123697
50056,2075.387285643327
51743,2040.0652868722207
56868,2063.6727292689966
57077,2072.7027012638982
57705,2068.536790346855
58900,2072.8508082344533
64361,2083.9514586207943
64612,2043.1032890832892
64903,2069.3073894124027
64985,2058.314966352969
67694,2067.2482745746847
68986,2075.0486514363865
69541,2058.237801527239
69979,2074.9300358692926
70325,2071.5634094661864
72139,2073.852422850008
72520,2077.1230692478457
73922,2085.1611165755858
75033,2075.980732825244
76914,2081.3444491070845
77258,2078.101300008831
77427,2098.6318681312487
79370,2062.742104771749
80563,2075.4954636544226
81278,2084.4211262812014
81592,2082.2445957563023
81643,2086.9136153669538
85666,2065.1291543946154
89496,2051.610891988378
89842,2061.299623482269
90327,2076.9416776949415
92069,2073.5821860520355
92864,2089.4862830845573
95235,2070.827134728649
95869,2079.572069092937
96826,2061.573846612325
97396,2081.517516689769
98202,2079.3027766715622
99476,2082.3681924988396
101793,2060.2998985949735
106903,2069.988077813533
107117,2077.295939216808
112839,2064.5483358003253
113685,2062.2709633005857
113888,2075.4736827841875
118835,2086.5723570952355
119039,2076.18092314363
119139,2058.4615764263144
119893,2068.2935307368202
120965,2078.3688038064774
121182,2070.8290617935563
121795,2080.8831310768574
121884,2094.362796520774
123143,2082.3946724319376
125469,2073.4385672498292
127215,2072.1766840669297
128486,2094.1628073465704
129818,2084.5710890064797
130496,2101.0644453471855
132384,2053.8223018924264
134380,2079.7798151259058
134950,2085.7949032444913
139975,2061.483818680917
140404,2072.1131401728444
140668,2074.0321148310204
141139,2087.626242201929
141353,2092.848815160166
142364,2086.445627498012
145453,2071.976985478677
148002,2089.404087923074
148401,2046.6196165428235
149343,2046.1705272961485
149569,2077.4059873750857
151295,2073.914254972835
152689,2071.9045898041895
154985,2067.273077954849
156501,2088.8160967323042
157828,2076.1874954664777
158489,2082.64986344295
158660,2082.148589918937
161775,2062.9647473608065
