,co2_forcing_2023,effective_f2x
2786,2.0894332958118778,3.5825477100709704
2901,2.3671074336064577,4.007005959907091
5004,2.5162743632354214,4.250968801733942
5038,2.1908127649681974,3.72061934381171
5346,2.247383819921491,3.973826077764903
6016,2.313801108560954,3.9680082183630803
6120,2.2896187663389482,3.92278660121845
9563,2.486348205828766,4.138265717350938
9581,2.6264446943882604,4.378971782986846
9877,2.618361287336509,4.247054742231148
13194,2.236708363797139,3.7596650425861933
13585,2.2133767613208177,3.716070697212638
13769,2.6012387098827676,4.566728602469695
15776,2.2373136883005147,3.82861440228748
19468,2.3877198268778943,4.143948987719821
22019,2.3054270958933887,3.933409363704756
22567,2.508661906284006,4.33736801597902
24094,2.578581177686433,4.418022333847977
25818,2.51002639315846,4.257915100967654
26647,2.467487060685924,4.028770928732864
29956,2.3248128718135384,3.984451627401514
30535,2.5938240138664717,4.371281882078891
33039,2.1181696022144143,3.70601493672915
34871,2.7126440316765907,4.567015605833205
36954,2.1726453296069095,3.718568366811811
38247,2.183406661642001,3.7063879625066636
41330,2.264730104913095,3.881188834704906
42646,2.381543795784789,4.155647576400045
42785,2.5632248528873767,4.238928263624988
43322,2.3005092767747577,4.012320259436767
44325,2.5405761098934563,4.275351020705617
44652,2.249487631391753,3.8772084255684454
50056,2.336250507775248,3.978392172265412
51743,2.019076334278571,3.4550730938933065
56868,2.158381589840226,3.6668824478147237
57077,2.073300144370737,3.563005007679811
57705,2.1865417092150157,3.7932422009657922
58900,2.464959994732996,4.14917689301512
64361,2.4694706206972876,4.09534115059866
64612,2.20539633621505,3.686766611304024
64903,2.632782780706284,4.4206499845956735
64985,2.1135441603711556,3.596733117967901
67694,2.344471247515648,3.906181826197148
68986,2.4390715623037402,4.045747022100255
69541,2.2050095735472492,3.8249969988266157
69979,2.2254497056409703,3.7045604619978763
70325,2.6614226299833246,4.617186747736608
72139,2.2913874544909136,3.8524637891630777
72520,2.612099211483391,4.424702919622408
73922,2.2893208035232195,3.813117845628994
75033,2.3279254844905517,3.7338271579143854
76914,2.206044475377517,3.7786104846435684
77258,2.3107587255213744,3.9900312581491195
77427,2.320802710972076,4.042614329326631
79370,2.3420982055529755,4.008580355639662
80563,2.378037821005203,4.109367191676239
81278,2.2169960584983794,3.7645276149271014
81592,2.534878099068635,4.330428013190324
81643,2.413699435624989,4.120016495948449
85666,2.5365018647682653,4.14016335795006
89496,2.467237085083034,4.133226614559117
89842,2.244046417447406,3.8189089537921075
90327,2.20767247178305,3.795158733207463
92069,2.305346900493063,3.8527560397718146
92864,2.313570232979299,3.89476329708977
95235,2.086697505384206,3.533889972539166
95869,2.35429387716823,4.166735054297528
96826,2.498356247717977,4.23945623733865
97396,2.439041242839374,4.128469766486745
98202,2.3431015374674073,4.021464381954597
99476,2.119329184453853,3.6081174792085964
101793,2.4692023008901,4.117245500737417
106903,2.2370887480468378,3.852359226972952
107117,2.2388655214896964,3.7976149437591964
112839,2.2661884342025598,3.8760748036562163
113685,2.2622266765204366,3.902098834757921
113888,2.122004232555742,3.7625993784190186
118835,2.1837772052236546,3.710489589306464
119039,2.3588135796849827,4.073252737190939
119139,2.3114790156338456,3.926509850842096
119893,2.0272474470710846,3.424101295502109
120965,2.5215258782792285,4.205001881697481
121182,2.1489471876730635,3.6964588694249385
121795,2.3228532902974495,3.91460264644277
121884,2.1811775434325984,3.69635535737655
123143,2.0993546465169444,3.6073344752651537
125469,2.177389270414017,3.7395337809180162
127215,2.298571442156154,3.906272346811135
128486,2.1013818944156535,3.5698081773672543
129818,2.321000783597142,3.987304677441053
130496,2.4003357544073567,4.069401227994798
132384,2.486374011193715,4.102871199736618
134380,2.3757472029504245,3.940985019096919
