,mixed_layer,mid_ocean,deep_ocean
2786,1.256324020188015,0.9600730144218946,0.34418984606695646
2901,1.2394705988913388,1.0280737210483182,0.013240619044292856
5004,1.2968837466692062,0.891716324993934,0.21986834308200864
5038,1.320606501603804,1.124611773714327,0.2866485121843041
5346,1.281628418352029,0.7489607968973035,0.34533758117813695
6016,1.367156458926337,0.8186410566968207,0.19252093061817566
6120,1.3092895240788054,0.883324097210555,0.26205893932539925
9563,1.491397826372499,1.11120010300928,0.18894710176527507
9581,1.2361344729467973,0.8099378663609045,0.2156321896889961
9877,1.4157370615602045,1.014842487364212,0.3702110852606134
13194,1.3074325957054713,0.9798999694248647,0.43852745285409966
13585,1.2872193945212196,0.28518383795263846,0.07632311251492074
13769,1.4122680178015032,1.0872411414460215,0.2519482263539099
15776,1.4097508164104327,1.1957856783179557,0.680418638209136
19468,1.3361881147035506,1.0688286443399995,0.10588558871220333
22019,1.3684637455008377,0.9368811989133928,0.557949150381379
22567,1.4738317717694485,1.127908798316386,0.6158905387655276
24094,1.4989810453115262,0.653886923759029,-0.16867273011847195
25818,1.3633287653345556,1.0118969151795238,0.20353635018332228
26647,1.226283139996505,0.8012946444201351,0.30730456130384776
29956,1.358915956413361,0.7991146217197183,0.1431068193251841
30535,1.3260915961891646,0.7760888803083799,0.4108961867859784
33039,1.3477001209808233,0.9510448148554788,0.3160653238228498
34871,1.4572469488815096,1.1367055621998172,0.15390675955741506
36954,1.2626879693966815,1.0515873483490223,0.45219738907822626
38247,1.2483093147019706,1.113537040322644,0.4663009134431385
41330,1.441193272258796,1.0646730031160725,0.17667385947181136
42646,1.235782750375853,0.8384845050351538,0.24995588582062067
42785,1.2829470615300234,0.715226246631853,0.2810401423317993
43322,1.372763208884761,1.0703951591231462,0.1516577592489059
44325,1.4329675610522052,1.1021068674855905,0.6120866442120185
44652,1.189284601830694,0.7282387770193703,0.24514729502959542
50056,1.3197129411132584,0.5532532911685433,-0.021906788697264812
51743,1.4687540725923027,1.083720096820094,0.5805757411711114
56868,1.43149861972476,1.095615465919634,0.16669507093397373
57077,1.2703517337253691,0.925042855282006,0.03341977148725306
57705,1.4509563582536655,0.9564636497616847,-0.0587834131783711
58900,1.4962828524071041,1.149105569912016,0.003755978027545792
64361,1.2602700123704498,0.98375351129756,0.24928088881473798
64612,1.308556988315465,0.8886084886149448,0.4043391256081341
64903,1.4699379624082143,1.1356609445695933,0.07635625152052095
64985,1.3288508433838548,1.026915949987111,0.3656743366218953
67694,1.4162844437863096,1.011972983618267,0.1715380546514541
68986,1.4312840987586728,1.1555738960242585,-0.030192860327802107
