,geological,slow,mid,fast,co2_2023
2786,154.80698955830962,102.52204177155625,33.518827664341536,4.640929869874663,417.3621742986427
2901,154.80698854195992,103.29071306992245,36.16919863803791,5.239192326321113,418.6824280196489
5004,154.80698730618678,102.89385056181355,37.31604728106004,5.589865148880206,419.53725751858644
5038,154.80699120966796,103.94780216537363,34.50035857409059,4.820082369046022,417.78556375241806
5346,154.8069882440934,99.85010840103337,28.748197000571995,3.683581331189294,415.80023089339716
6016,154.80698802324815,102.09419550071664,34.04399367974034,4.778897349499578,417.77142362482596
6120,154.80699104357387,103.34687538143206,33.01993259453613,4.4885273731283934,417.3564471022811
9563,154.80698925406406,104.46264610032536,39.05545453744991,6.152641561146143,419.7743691602928
9581,154.8069967085441,108.28537786606051,34.140374145924945,4.467456697809026,416.6089769849257
9877,154.8069896577276,106.50058360319862,42.89970917075675,6.990733238089469,420.3072511824252
13194,154.80699513640394,106.66267675773723,33.612144735711375,4.4755444819562715,416.3634186357886
13585,154.80699316612936,105.76208354975569,35.16107726036158,4.835922633319028,417.3837729308177
13769,154.80699249999373,102.59234048815952,27.996051984980294,3.4367404006613915,415.88614793507514
15776,154.80698734590905,101.84555505756262,34.759296836018194,4.991870053290151,417.9945803858423
19468,154.80699311918028,103.44211439787244,29.830276022968402,3.7972674337458523,416.380737723052
22019,154.80699117078666,103.83592200819282,34.28504528641038,4.787243207916789,418.8596818942334
22567,154.80699213610623,103.09278098151952,30.28462410373506,3.9154116432652772,415.3858943237452
24094,154.80698475257427,100.75796142112362,36.299258563708484,5.502828670056363,419.80806523942476
25818,154.8069862135379,102.13319200376608,36.710539769587726,5.478704485058469,418.86320405669966
26647,154.80699789681296,110.3594546093612,37.59258067558906,5.146457681160604,418.07459519219094
29956,154.80698707692014,101.38712448780475,35.13192316137439,5.142009110110258,418.66047186946946
30535,154.80698578576337,102.1380093712469,37.70352358043337,5.789214122681311,418.4780668176778
33039,154.8069906420922,101.76300642005847,29.397393345030125,3.7581848261262216,416.0160631531236
34871,154.8069955341521,107.01995406467965,33.60006832454828,4.403732834519826,417.2931215467055
36954,154.8069901365882,103.0103808432875,33.58371343870502,4.633176377947179,417.5418553176419
38247,154.8069905402367,103.58527759755687,34.708824035509764,4.908737902898188,417.51896942494886
41330,154.8069871560049,101.6520487586105,34.86065065525709,5.034478093028488,418.43200628775463
42646,154.8069907679622,102.1666246595684,30.023080165851184,3.8587822855568383,416.7305759202269
42785,154.80699307413911,106.70425162025052,38.046987159296876,5.561613913155391,418.5312030191061
43322,154.80698114727932,97.83747340163814,34.39040623139814,5.167226381054947,418.51365562091553
44325,154.80699609443008,107.48135972502213,32.689356906295096,4.163405032040258,416.18279487142576
44652,154.8069956117711,105.47184512012886,28.535118323965275,3.430366598233668,414.546391359018
50056,154.80698664979505,101.95619896001878,35.86525084779977,5.261833310376721,418.4200499815447
51743,154.8069860355205,101.47879534567994,35.458271495084944,5.181511536532651,418.7313545468453
56868,154.80698690995118,102.14263273800728,35.890644791810004,5.2514349913743485,417.90949519047456
57077,154.80699598666354,106.12527439454037,29.175436414243844,3.514743623723378,415.5223870607527
57705,154.80698409265455,99.44971476205606,34.04343967423868,4.95878461723384,418.195015858988
58900,154.80698563600757,101.93444519202387,38.80425111996018,6.236677348928016,419.9604834670736
64361,154.80699252253518,106.31351473378875,37.875027744713584,5.500581935438961,418.66172348009917
64612,154.8069891675325,104.07636205182673,37.6617346975332,5.6215433010105,418.13518319110034
64903,154.8069936230991,106.02870323336633,35.34806355516452,4.934495482931331,418.1776159964928
64985,154.80699327077946,104.87857341289978,32.41774297599527,4.2621136832200355,416.06369724473853
67694,154.8069932231188,106.5515500957711,37.381968336798245,5.4187496795151056,419.76586984023425
68986,154.80699566386056,107.85901113761226,36.19844397149584,5.000887423043072,417.8706706691113
69541,154.80698723349752,100.50992440225839,32.842768017241724,4.675466234731147,417.5111766492607
69979,154.80698444603226,102.91672048085519,40.67345757981184,6.515952887515874,420.49544496814417
70325,154.80699008678258,102.06866672359347,31.17722277973759,4.127795853878261,416.66024158223615
72139,154.80699668428795,107.98105849428245,33.5105096366846,4.3785531068640315,417.9897397158824
72520,154.80698828163983,102.94582891257342,36.263201859797874,5.304944775008903,418.65258155365996
73922,154.80699064112937,104.99949810745053,38.04593004593838,5.605468349874889,418.7407428434398
75033,154.8069915849457,108.082175428596,44.43788388449028,7.345596442164557,421.2216308472199
76914,154.80698697562585,101.59291653663006,35.23348130193666,5.1487664891305505,418.88422066641715
77258,154.80698548304622,100.58179250983217,34.21575091202142,4.917045319263466,418.3766711423919
77427,154.8069909777093,102.20076785692923,29.951019124024207,3.839647673869336,416.0585279194646
79370,154.806990038551,103.12749920683142,33.33768026044247,4.5391721638550715,417.22609257674947
80563,154.8069877867139,101.2444612259745,33.361855619408686,4.697828469851825,418.0631755181063
81278,154.8069882231158,102.47195426617469,35.52682037761784,5.180579273360385,417.61531985776304
81592,154.8069940885543,105.17537936123664,31.266524282817816,3.99275260539011,415.78512793706557
81643,154.80699137736516,103.61878298618035,33.223361015646375,4.525772165959246,416.80814001702737
85666,154.80699083406506,106.32017034508898,42.050240435292224,6.800286189476088,420.795280154372
89496,154.80698691037557,103.36609316063964,38.84121566486392,6.0041410892967475,420.03865342523966
89842,154.80698346964036,100.52835983302693,37.581258243141235,5.9466084716147165,419.6031526484796
90327,154.80698916675445,102.26206872498851,33.144476637217366,4.5652983942037615,417.2463151586586
92069,154.8069886565876,104.25334156448918,39.23259748366158,6.0815074344510816,421.0668571399413
92864,154.80699208089445,105.3960140373985,35.765441974259225,4.95424356387696,418.82766998602074
