,co2_forcing_2023,effective_f2x
2786,2.089460618506402,3.5825763769627956
2901,2.367086262950298,4.007035948797158
5004,2.5162589016284276,4.251000960764482
5038,2.1907032586725346,3.7206438357064346
5346,2.247384969077362,3.9738574865598455
6016,2.313782987306364,3.9680382638086877
6120,2.2896251105607823,3.9228170990849534
9563,2.486900483121591,4.1383174903192375
9581,2.6263554104205395,4.379001257795437
9877,2.618426702919097,4.24708867033457
13194,2.2367315164714423,3.759694189542542
13585,2.2133130276056012,3.7160964579388063
13769,2.6012567751986464,4.566765074449246
15776,2.2373557524989054,3.828645559982563
19468,2.3874763783543114,4.143972236883189
22019,2.305200355251747,3.933431464950265
22567,2.5086635753121667,4.337401474617523
24094,2.578247196585205,4.41804451656265
25818,2.5100492046971303,4.257948739380949
26647,2.467491813320496,4.028800841550404
29956,2.3243839362268743,3.984466760485642
30535,2.593733802210816,4.371311941065773
33039,2.1181758175860486,3.7060441458551967
34871,2.7126594273577593,4.567050782767101
36954,2.1725695397688822,3.718594264955752
38247,2.1834695367882184,3.706418631133105
41330,2.2646674226183254,3.881216651592255
42646,2.3815335324236684,4.155679737545739
42785,2.5634965101305234,4.238969999934462
43322,2.3002840875303896,4.01234363539781
44325,2.5405640792434885,4.275382766849867
44652,2.2494916023250737,3.8772381911982605
50056,2.3363249338386236,3.978425602963081
51743,2.0190565147985726,3.455099188905211
56868,2.1584445365042004,3.6669129030682965
57077,2.073209618325557,3.5630289792124734
57705,2.186431290872276,3.793267889825069
58900,2.464703600147153,4.1491993279909325
64361,2.4694382871862772,4.095370768315382
64612,2.2054400939800036,3.686796091142321
64903,2.632724512206832,4.4206814195000295
64985,2.1135413244382115,3.5967603773247174
67694,2.3444482561988407,3.9062106768071043
68986,2.4389498297446384,4.045772866672083
69541,2.2052689431320065,3.825036472959515
69979,2.225462317429368,3.7045891785221703
70325,2.661381866641469,4.617221176783369
72139,2.291456591929106,3.852495598284793
72520,2.612062651810413,4.424735566028391
73922,2.2889404695411715,3.813132686906134
75033,2.3278052410732215,3.733850288837997
76914,2.2057504980413793,3.7786290152619117
77258,2.310836380232417,3.9900653271843822
77427,2.32077507445413,4.04264479266285
79370,2.3420750144184446,4.008610374771773
80563,2.378047033147062,4.109399633871433
81278,2.2168602004356184,3.764551444604277
81592,2.534895858511929,4.33046168506321
81643,2.413763765474144,4.12005043003214
85666,2.5363234971973703,4.140187803710964
89496,2.4672027635044964,4.133256990817716
89842,2.243830352997428,3.818930596284481
90327,2.2076834118364412,3.7951884963949043
92069,2.3055231603935367,3.8527921454517235
92864,2.3132110678547333,3.8947798353156022
95235,2.086704137277242,3.5339174767207258
95869,2.35435455217795,4.166770350858678
96826,2.4983690141943247,4.239488935234863
97396,2.4391135534991184,4.128504237767279
98202,2.3429606040980997,4.021490257800631
99476,2.11923587921259,3.608141624061726
101793,2.469264876397906,4.117278758598156
106903,2.237118499238805,3.852390017453222
107117,2.238881492853074,3.7976446585071866
112839,2.2662205842095497,3.8761056413461388
113685,2.262275367484374,3.9021306471903525
113888,2.1218071366032465,3.7626220314896486
118835,2.1838343525504817,3.7105200812958183
119039,2.3580778008790046,4.073257600737165
119139,2.3114238092787462,3.9265375096985444
119893,2.02723784895904,3.4241270235324897
120965,2.5215493084867564,4.20503456745915
121182,2.1488658786274737,3.696484517115006
121795,2.3228504865175363,3.914632088468037
121884,2.18122700448044,3.6963855466382554
123143,2.099384899002649,3.607363145054127
125469,2.1770021049229396,3.739548728435766
127215,2.2985906982488324,3.906302872891494
128486,2.1012204465363165,3.569829535681217
129818,2.320958651403192,3.98733392452671
130496,2.400126870743329,4.069424812415643
132384,2.486319259765661,4.102900307139701
134380,2.3757817250559627,3.941015895996607
134950,2.3657801994486656,4.100016987945404
139975,2.1689715882092706,3.5949071514639184
140404,2.3549776596154057,3.968501886341999
140668,2.409346743977893,3.9562472039190384
141139,2.293091601491537,4.006010905757273
141353,2.2935440693492515,3.9763066721128055
142364,2.2224306426715645,3.7281977655542
145453,2.284527291403329,3.7704203072131084
148002,2.3219422661613045,3.9231296179485615
148401,2.401456471568278,4.198048875275063
149343,2.25553098566072,3.8657487942865973
149569,2.2497216038525987,3.8921183474635357
151295,2.382633400152775,4.069434836046261
152689,2.2045722260183322,3.621990589692286
154985,2.11581612027697,3.6983455866302544
156501,2.397593523323449,4.198463018098912
157828,2.488569821279593,4.300093794806464
158489,2.404493734148861,4.101266530151682
158660,2.262408747113151,3.765104850248371
161775,2.2837001703280353,3.863346139551735
163837,2.2055864504911744,3.82418507188056
167743,2.3369364576938416,4.008199897684425
167904,2.249995260834836,3.8884877265193345
169111,2.4997593725605,4.0799785487590166
172703,2.103491122880669,3.580863626933121
174227,2.16591358185155,3.891821392462351
174262,2.2638986219043766,3.778124980699275
176865,2.471685431938826,4.1078352088388215
183750,2.4771257052924778,4.297346704645415
188286,2.4479151629489495,4.250280397531369
189506,2.171501418006221,3.62117602589201
190269,2.2224743106884244,3.7734471794555446
195129,2.1704009991235185,3.632967498089243
195453,2.3261455253731635,4.016062455754398
199945,2.1071309104242113,3.7516317184971952
200780,2.522169439471648,4.218994254283511
205068,2.425015145076644,4.003388226797088
207641,2.121368090587422,3.5934374463860714
208398,2.6141630024914533,4.259389308723985
208882,2.1757318873411737,3.7903256136772074
209601,2.208409320631908,3.793890304069088
209931,2.3242501417555883,3.9658168879328817
212953,2.7115200131876374,4.640088605310779
213060,2.174335499921875,3.723315844264518
215331,1.961882290679462,3.248031818880587
217003,2.1813843897469525,3.7179769705762618
217159,2.464471479755461,4.218278708209503
217226,2.185912063128182,3.6937465422505276
220051,2.4479417281555618,4.081197827256651
221808,2.3062032987112704,4.010683647483087
221853,2.2219766082507766,3.650988510570278
223384,2.514604169754864,4.279908182220075
224808,2.253405867968435,3.7569397052825337
230253,2.315655103956688,3.959424944777749
232172,2.2235634333373313,3.7769128917050656
232506,2.4288886973570643,4.19634571194509
234254,2.3340439628801897,4.011305334359714
234865,2.2144626910213163,3.7868643207615205
235078,2.479282015457065,4.2145324611577495
238195,2.220206165872417,3.8426525377661416
238267,2.1498195251379615,3.7814439363474945
239841,2.1358383540607795,3.670391434539288
241555,2.34627047140779,3.9614022583345516
242404,2.296879118752507,3.8326945888122017
247612,2.535255795519527,4.374023456683916
249664,2.258946310018241,3.801468928334149
249827,2.3698261793223505,4.034952511265675
255375,2.438175496603513,4.031863490149036
256899,2.253303594233908,3.7774916126298526
258265,2.15925688620068,3.5771502838699942
260903,2.208592511958936,3.751912650032744
261475,2.213944874691621,3.7577509699860836
262649,2.2621163842322223,3.7535565400758557
263424,2.596810881042058,4.526923322921867
264288,2.2683886833491043,3.8540292803298093
265211,2.279981136383282,3.890883562355517
266589,2.1992549644096475,3.694355147775795
267831,2.192388548673005,3.6231463432217903
268229,2.168092595789095,3.6455134532193236
270829,2.310518149774751,3.871321218598613
271462,2.239674957908256,3.8467051643508317
271492,2.475701905077296,4.124558118370802
273300,2.5167349422365057,4.328542075292104
277306,2.4599137234108683,4.1784785791089085
277740,2.260899173288589,3.893658821973091
280031,2.26068164580096,3.8243795442747857
280461,2.2889709561477627,3.9223455947935526
281734,2.390160125463575,4.053696963135614
283101,2.350801395500339,4.011770682599567
283136,2.182243326546364,3.6836407487152356
283202,2.4546222868245855,4.158461173411382
283257,2.586457606183364,4.401910125933371
283499,2.0165668442215328,3.5315391517218164
284692,2.372407313747158,3.997726201740563
285130,2.3335981701034583,4.034012671530161
286718,2.434756758403502,4.102810220095831
288714,2.433808092911779,4.141832620469053
289571,2.036206041537916,3.5434549441822423
290137,2.0230614689049697,3.4077333886150334
291909,2.279088117444046,3.894195272391777
292672,2.213844225337116,3.723561685740094
293167,2.2472416895058465,3.8091197996876667
294400,2.3895997857609417,4.100744048463723
295550,2.58130605467427,4.385559232740537
296225,1.938071970073558,3.27405221494041
300443,2.3961846884455142,4.015100201521553
303392,2.39960289711637,4.127100381858741
310505,2.5405689295111555,4.218328453728754
314455,2.232787692702728,3.869902572670614
314978,2.623210588911003,4.257310573606857
315323,2.441194158999188,4.063821737114013
315351,2.480284035035821,4.2582958981589965
315442,2.3910262738595613,4.038479269349645
317511,2.371899706198795,3.9626438433289315
320469,2.329404628070124,3.8887824966231963
321115,2.3628712155749785,4.040771744419481
321475,2.346108947850421,4.078050206478281
324049,2.2209566691725744,3.721367466247418
328259,2.242848604354378,3.8274571388899234
329230,2.1506903963590083,3.632892816848113
330317,2.1681297659441903,3.747569379549604
333081,2.3727710808726052,4.004023719652051
334804,2.245389305016498,3.836847683047887
335624,2.238858455392681,3.815206920926369
337938,2.4305528638795333,4.11333914410886
338665,2.132086426345282,3.5820477786256038
338700,2.1528069921798436,3.792241147542258
339708,2.2266400718411785,3.6873311597514085
343585,2.040550587854371,3.541113029435677
346813,2.3409535292534986,3.9351816660951293
347117,2.249311875162597,3.7613024812680123
347221,2.4968112425675977,4.300770898160565
347511,2.2686093104340075,3.98000787253346
347749,2.4437575238621525,4.13422652239053
348894,2.255119458803779,3.70981163148644
351224,2.2111726035092714,3.7896769371238013
352498,2.232034509613723,3.864084338751338
353144,2.152656941418211,3.606467774745435
353206,2.5996639884257475,4.418449681894506
354277,2.382095348200119,3.971539039706127
355875,2.3924738415473517,4.198030158463504
357912,2.323747967535482,3.9230361510334046
360047,2.4350185153014006,4.1584750452797214
361594,2.656734217146716,4.575969544044235
361852,2.2777700302150357,3.8713588988472574
361918,2.273320104322127,3.937165199703897
362405,2.066405133863091,3.614337620634744
363700,2.1438708070507455,3.5655549670512032
364025,2.229188510005147,3.7818878894358754
367454,2.037683604196436,3.4931078094220407
371681,2.0572109266742853,3.4440089803083933
374920,2.663621875462775,4.3262748418588135
377508,2.308785059382721,4.01662102106215
379373,2.502877669879736,4.194006115635876
379581,2.0579684715135573,3.5654446064880365
379765,2.4286054144584854,4.273084709814277
385243,2.4412826660643874,4.150491637293713
387518,2.107142880277468,3.689948845688066
389937,2.053197843224039,3.5252873524013033
390157,2.123746395952949,3.7031856784187025
