,a11,a12,a13,a21,a22,a23,a31,a32,a33,b1,b2,b3
2901,0.16373078982095138,0.2174755472011617,0.13084573395906698,0.1905314406184155,0.2569374777502308,0.22804052591383867,0.002279447370828699,0.004534462522188057,0.9916421609751574,0.28714855153768787,0.19095683682746012,0.000908574434924266
3503,0.09812697695450145,0.43083776214793784,0.11426052885844877,0.07758321238484552,0.612644480993183,0.24308991394983093,0.005880796874317189,0.06947889335123804,0.9220557370399752,0.2576283388070033,0.04815159962033613,0.0018663294238966991
3993,0.03794518769039614,0.42082617247146614,0.0026143520693471607,0.024094064938162876,0.9322380834905268,0.007799218320754338,0.00010349735830077101,0.005392733209293242,0.994421184975531,0.3774857737418006,0.025138395105960228,5.787900230398782e-05
5038,0.08163289279027575,0.6229888364471834,0.07607374557445537,0.09247837011612234,0.709195444152085,0.102184967797744,0.002497546443796811,0.022599866993003617,0.9736607128228061,0.20497534279071483,0.08985942759478933,0.0011607307027590753
5346,0.1636395593142433,0.5144910093306101,0.06578365289585784,0.07923396881816486,0.7379760374092073,0.14925342291428167,0.003960310122148624,0.05834476428367757,0.936766856894126,0.2708027249517576,0.035463877879582106,0.0009814037094427227
6016,0.13104159883175268,0.4450032550144157,0.0999985801261819,0.10494424122506642,0.6107298823943856,0.2118968807764446,0.003574710004568223,0.03212004328336432,0.9630322010433537,0.2977398014190116,0.06656754957176558,0.0011700221707134579
6120,0.1929984105402075,0.3730840889532326,0.0920319826889688,0.15395387017767437,0.5315726519667162,0.22059007204059375,0.003865073312928133,0.022450242540624415,0.9724606545130906,0.2754354871493522,0.07563590812786587,0.000986123075645523
8254,0.10290917175634996,0.5241223715068083,0.1049325011890615,0.08875137664303424,0.6618781725015564,0.1906396463527165,0.006561676305823612,0.07040047678167347,0.9208026835376333,0.20439482270487863,0.04478605248728574,0.0017044572277220057
9877,0.07483145603092937,0.6278380218150312,0.07508584634865888,0.0774542730670972,0.7498726137288837,0.11736349052583786,0.0032296551966846596,0.040919783433854204,0.9546838776135206,0.26209535956873226,0.06522718886702777,0.0013758817726825488
9965,0.12162608395334884,0.4137636096839727,0.16494504988532904,0.12440169317283054,0.4861346694449738,0.28204189741186586,0.004195853907265332,0.023862761470041807,0.9702371530952595,0.3061077421050667,0.10973119360535806,0.001740870700258644
13194,0.1559555250600757,0.3117640677566848,0.22855241334532672,0.15427530597737638,0.33321086103072955,0.37453936574662905,0.008618143906399324,0.028540070645305567,0.9594661205058468,0.2756021137186318,0.1251977281761194,0.0030630709457788625
13769,0.12679974080141243,0.49242681675151434,0.10856496205940484,0.13701268730556593,0.5797586359147602,0.17541096614256155,0.0040734547439870246,0.023654341514881744,0.9707202613942505,0.2469473777491413,0.0978121654359624,0.0014079212096339486
15776,0.17332682606134725,0.496511813493008,0.12424433963671128,0.17706701377654063,0.5423348327132032,0.18769130755903604,0.017526136410366794,0.07424131546230767,0.9037124562091978,0.2325808293954481,0.10493717907807051,0.005105390137890247
18462,0.11473103047458888,0.44367908672059847,0.029401344579527137,0.0488926541600684,0.8308735400438628,0.08339561901304736,0.0010281645676619023,0.026464520061027702,0.9720786528620876,0.26343278202068326,0.023543561086468365,0.0002739614202737211
19468,0.12163258588470689,0.474118472535511,0.06463541129644247,0.13992527405603342,0.6117318813642506,0.11535198329728048,0.001610829402803228,0.009740804070091981,0.9878975117230138,0.24625827650209867,0.09643343792168377,0.0005444547801275998
20095,0.36573398842457716,0.2747200415433838,0.12426467155343014,0.17056159598197557,0.39613428738040124,0.3849307471399738,0.0050087883086142836,0.024990600721642036,0.9692298856182756,0.2963226638377724,0.060923353454102464,0.0009706822884406794
21130,0.29233984608244434,0.2212911450070496,0.01598401159303995,0.039563312152469846,0.8356804376114929,0.10436066670346464,0.0012056915283439893,0.0440310114360421,0.9543933672055717,0.3188391017591252,0.013824653359404837,0.0002507479945089175
21807,0.08367829596510412,0.5710901011857021,0.1340367047089445,0.09248248582780262,0.6382746107306625,0.18231973919033856,0.0032269612379014112,0.027104964036293148,0.9682445703606627,0.24005824820246652,0.09880268283990697,0.001618050280637292
24094,0.1539702420230582,0.34311545788004877,0.018597624092304883,0.06054763408556872,0.8227328179933666,0.07061497747997345,0.0004776358687481558,0.01027730865006494,0.9890404122533155,0.37986217382487586,0.03616101451532322,0.00016050700966769248
25818,0.12048542978685217,0.5016185723569184,0.06199815022710234,0.12129175687729221,0.6678688716072461,0.11882863036355984,0.0019882968292788405,0.015760351539296235,0.9814802765836765,0.27177178675010727,0.07915825862926379,0.0006633677469410144
26647,0.19664170234389777,0.3526978927746902,0.15553509210697541,0.15499797468214782,0.4289252650978419,0.327837670487155,0.006058894989923726,0.029060342699948134,0.963163017126063,0.23614063318536388,0.07060334583073287,0.0013744311919679172
27724,0.06511332098180052,0.7185457608665448,0.009217232336848001,0.0598890517247892,0.8895328503572723,0.015019751443893331,0.0010348071289119915,0.020231524902461214,0.9784089268570233,0.27229992100272205,0.04674759865236832,0.00042692837706270726
29956,0.22992488702858413,0.2355144034929768,0.07603852391275262,0.16335440920786762,0.44560220923706384,0.27305145201112674,0.0034048632119860448,0.017627758548189498,0.9776856398787104,0.3094173563178122,0.07962264870844202,0.0008649354549711834
33039,0.10533018589075634,0.6728262190336322,0.04515728214881503,0.08271225780564569,0.8077318802644581,0.07633561144021643,0.0024201293567099984,0.03327905641179414,0.9637816347070046,0.2430918710548467,0.04570570699379924,0.0007143072937071143
