,0
2786,-1.411329158830239
2901,-0.8160210607242027
5004,-1.5558850573811018
5038,-0.9982476176638175
5346,-1.602428683666517
6016,-1.1142626979740802
6120,-1.0852110990123733
9563,-2.1566153042956087
9581,-1.06099833042339
9877,-1.3992114314938522
13194,-1.4787047607771941
13585,-1.2524628112223721
13769,-1.2957613846851412
15776,-1.8101079892703384
19468,-1.06608868062993
22019,-1.208675143450379
22567,-1.4251557265240788
24094,-1.184564565815978
25818,-1.2981601775497087
26647,-1.1575230281297897
29956,-1.286953484099909
30535,-1.0802488869611826
33039,-1.227330562008052
34871,-2.153489108735894
36954,-1.556050734149133
38247,-1.703657501893258
41330,-1.5410661084365673
42646,-1.4427806674828496
42785,-1.9629097359222434
43322,-1.501913188090431
44325,-1.7085743585322113
44652,-0.8595378413848922
50056,-1.387098545431868
51743,-1.2946102487187634
56868,-1.9788617942717253
57077,-2.018972778002998
57705,-1.4541686880490814
58900,-1.3082336447254774
64361,-0.9269748041634128
64612,-1.5226348543301975
64903,-1.8934841882983582
64985,-1.3719268446468142
67694,-1.7021932205745895
68986,-1.387176836554431
69541,-1.6459574843780114
69979,-1.3180517994448497
70325,-1.6329720721625685
72139,-1.4802098068240246
72520,-1.6431388790521981
73922,-0.7850902946750227
75033,-1.3192437235247245
76914,-1.026109931013686
77258,-1.1217763635405045
77427,-0.7168785570574676
79370,-1.94699727135812
80563,-1.0923669980369557
81278,-1.3402353257849395
81592,-1.48976185869735
81643,-1.3595719849165877
85666,-1.6713443850262752
89496,-1.8376842283223929
89842,-1.0665956435243173
90327,-1.0225611495332851
92069,-1.5995883314678196
92864,-0.021307167017576956
95235,-0.9741327940722628
95869,-1.4690174851742628
96826,-1.7573993212314025
97396,-1.2795429962267326
98202,-1.3000851303299608
99476,-0.9731415838750067
101793,-2.188689113208446
106903,-1.315788715803508
107117,-1.2683134366408488
112839,-1.7764148565025888
113685,-1.3895954938911501
113888,-1.1621544437793871
118835,-1.7354562477515998
119039,-1.7512537920648958
119139,-2.3065366091471615
119893,-1.3074261447027973
120965,-1.5681838669965815
121182,-0.940764378221131
121795,-0.9477445196980326
121884,-0.9729008692889429
123143,-1.021040534271957
125469,-0.7107287176167222
127215,-1.4818337085615292
128486,-0.6047739042018598
129818,-0.9177641514851332
130496,-1.025294299757532
132384,-1.426392466448478
134380,-1.6932610341745526
134950,-1.024398175079079
139975,-1.4330691912421067
140404,-0.9282382249722436
140668,-1.786615306004026
141139,-1.2456198500403082
141353,-0.608200698579464
142364,-0.6891958315985793
145453,-0.5679039231825971
148002,-1.1801382875982878
148401,-2.0449062571696417
149343,-1.4747732884820492
149569,-1.4628879201571117
151295,-1.6857834323426428
152689,-1.2858083578695771
154985,-1.6517796645512923
156501,-0.9965151285336454
157828,-2.284611749770324
158489,-1.1564314142314276
158660,-0.9447108299083222
161775,-1.3045573484394573
163837,-1.646124612575147
167743,-1.356380096193294
167904,-1.5460529612937925
169111,-1.7567755108673588
172703,-0.38381840431788655
174227,-1.2326258636282734
174262,-1.46273937742478
176865,-1.2027773955530974
183750,-1.5252522034492753
188286,-1.4644849200101457
189506,-0.3442035377360494
190269,-1.6984407439173548
195129,-1.2010090522306616
195453,-1.4211199156632577
199945,-1.2709768683704084
200780,-1.5726234475843368
205068,-1.3267422751116686
207641,-1.32999377311553
208398,-2.04462947614182
208882,-0.45181578974656195
209601,-1.2024306588291482
209931,-1.382783896351778
212953,-1.8590393490793649
213060,-1.383342556945078
215331,-0.04457192840259356
217003,-0.8032081466472974
217159,-1.3539012828085002
217226,-1.1942644301965841
220051,-0.7463393667215455
221808,-1.2137150914515937
221853,-1.3719457126990497
223384,-1.3782542236919224
224808,-1.182521406318601
230253,-0.8013119821080816
232172,-1.0057275626201674
232506,-1.4684279691049649
234254,-1.7549537971445046
234865,-0.7960245442097872
235078,-2.5836991369324807
238195,-1.2372891451674357
238267,-1.137624188148878
239841,-1.2624135322308976
241555,-1.7587674196189989
242404,-1.5105599221825314
247612,-1.3852836390030765
249664,-1.4923071130038852
249827,-0.9574645617781243
255375,-1.1962266859155473
256899,-1.9417516904214784
258265,-0.7853389666204537
260903,-1.45935283817145
261475,-1.5965921040491091
262649,-0.9777438406809495
263424,-1.6834444022904376
264288,-1.0226227340834457
265211,-1.5457681318388512
266589,-1.4717295716528362
267831,-1.1480760981341684
268229,-0.8981259169094613
270829,-0.8339506956865257
271462,-1.220261212577721
271492,-1.4378136012880431
273300,-1.7081310927709654
277306,-0.64003571922467
277740,-1.5969356888917812
280031,-0.9841469679690491
280461,-1.633514705602399
281734,-1.9922810263633413
283101,-1.6860147784596082
283136,-0.9161974280971594
283202,-0.9286114807586965
283257,-2.2052546964254134
283499,-1.567818620417574
284692,-1.1176448220207011
285130,-1.4107370808552389
286718,-1.3333650100173335
288714,-1.4342880226016352
289571,-0.9611547452928371
290137,-1.4573663207287542
291909,-0.3420283353611987
292672,-0.9337472177913879
