,a11,a12,a21,a22,b1,b2,f2x
0,0.34663738581619485,0.0533481052936204,0.003019905323936539,0.9952542398317703,0.3499355481728873,0.0010065389287363528,3.6270676314730994
1,0.2125053575994313,0.31258859756495583,0.0184633972213483,0.9706209138246976,0.2612483335118552,0.006004778375354855,3.878672935390224
2,0.0670920693439861,0.30474514242190026,0.007686188625903617,0.9823605018588658,0.30119602440816823,0.004772484635899995,3.7559098191392337
3,0.26481221438719194,0.45191623014083265,0.025452586231785763,0.9664830936865924,0.3554230967695954,0.010118367204132497,4.249501525262354
4,0.3139783994350343,0.253501105823914,0.01229773129658183,0.9823292090555815,0.328830173863315,0.004084948943827312,3.8181893226488812
5,0.28123599855752374,0.34622159137296293,0.03667634567797497,0.9484412456437418,0.3512259359645074,0.014030853336835084,4.480522145835935
6,0.09821387061441426,0.39336316631846086,0.01446495004569558,0.9724067869941146,0.30918571558460123,0.007983650764399306,4.109919502659911
7,0.39931948597904976,0.17169752530475024,0.01002721492526486,0.9861749563283791,0.3277802045560777,0.00290187050790733,4.156536132967567
8,0.18896478643389944,0.19606665537909515,0.013905139434229186,0.974865624914729,0.3270766169482873,0.005972371040376081,4.534895571470581
9,0.3285710138307113,0.3238630642882105,0.01333097256541993,0.9820986285320565,0.36265154976750724,0.004768770873984212,4.2558354946542005
10,0.27120378332886286,0.3867242590864619,0.014040821832618348,0.9807015086630704,0.32527284564607584,0.004999465998935461,3.6767794153897606
11,0.21755979634624778,0.4955885329369007,0.03812398162161249,0.9481338887528566,0.3773122687044825,0.018075802357652476,3.7504675665331377
12,0.2575951630882208,0.381759399198588,0.015248904363577415,0.9785607359543628,0.3319157083372002,0.005697223377512736,4.231967764438563
13,0.3479726448750999,0.22867246085502899,0.008415661414138811,0.9881888583673991,0.3353172542694399,0.002689382168935277,3.9510848739565962
14,0.33805876046752353,0.12855398256167566,0.010000899889305654,0.9848321364378732,0.2771219577977788,0.0026845018702060467,3.978165963332459
15,0.33671805177453745,0.17442869533681785,0.02524046161983815,0.9626946758256323,0.3337176766276621,0.008236127870150087,4.1650909275328845
16,0.2522390260967277,0.22718050755718575,0.01048697367763591,0.9833271255729388,0.2918105280773516,0.0034674965370748716,4.771280136482875
17,0.19043837019660922,0.32488264606387807,0.013468085517035865,0.9779817060251649,0.3044453157373229,0.005370711338607696,3.950571853227211
18,0.2656665696021981,0.20175829932032316,0.009784784728235345,0.9844709976847948,0.27554198832077526,0.002971924603498891,4.539358248762529
19,0.16131391798428432,0.17481547603717557,0.0075665187465890375,0.9853524881267538,0.30230318429510455,0.0032244337238054224,4.413455528337695
20,0.20739812847638403,0.28198559131485684,0.020895660441124574,0.9656385437377134,0.3345155672939187,0.008821728767321117,3.818757544723107
