

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,36.5238567888,39.3503259865,41.9240626607,44.2147062380,46.1949325075,47.8426546831,49.1413881395,50.0788679678,50.6470119977,50.8409659488,50.6592214184,50.1035693496,49.1775526125,47.8873134075,46.2414178908,44.2496809571,41.9232875363,39.2754251243,36.3193548105,33.0677802574,29.5344057128,25.7339223971,21.6816792654,17.3937325784,12.8867932774,8.1781029185,3.2852681475,0.0000000000,-6.9735740212,-12.3034174123,-15.8979352187,-15.7080296484,-15.5065845548,-15.2937207143,-15.0697028454,-14.8351617474,-14.5909386493,-14.3379793469,-14.0772705243,-13.8098018501,-13.5365435317,-13.2584331423,-12.9763680528,-12.6912012790,-12.4037394346,-12.1147420548,-11.8249218617,-11.5349457546,-11.2454402110,-10.9569859720,-10.6700659174,-10.3851450654,-10.1026690151,-9.8230521498,-9.5466728373,-9.2738725503,-9.0049568355,-8.7401969879,-8.4798320280,-8.2240706874,-7.9730933432,-7.7270538872,-7.4860814695,-7.2502821983,-7.0197407466,-6.7945218816,-6.5746719389,-6.3602202198,-6.1511803395,-5.9475514943,-5.7493196901,-5.5564588687,-5.3689320007,-5.1866920973,-5.0096831139,-4.8378407915,-4.6710933484,-4.5093620091,-4.3525612832,-4.2005988362,-4.0533747804,-3.9107800019,-3.7726927680,-3.6389727821,-3.5094506952,-3.3839099247,-3.2620559317,-3.1434633008,-3.0274839129,-2.9130856200,-2.8231641920,-2.7315651893,-2.6399129214,-2.5492706062,-2.4603254829,-2.3735119577,-2.2890940278,11.0361037982,10.6398550795
"Atmospheric concentrations ppm",401.0782369274,418.9305281096,432.9192781989,447.9324516552,463.8527320072,480.6266342491,498.1829437496,516.4208546304,535.2281705655,554.4783753565,574.0320569128,593.7408227856,613.4451462155,632.9809380865,652.1777551558,670.8574847620,688.8424386873,705.9527236900,722.0074582594,736.8282905782,750.2418082679,762.0752183785,772.1610434847,780.3409790162,786.4657640614,790.3961454593,792.0038468664,791.1724865113,787.7984290070,782.9312873283,774.1653449219,762.6481505971,749.5168968275,737.1800377251,725.5274552045,714.4781866548,703.9691412952,693.9500345283,684.3800027574,675.2252336381,666.4572727112,658.0517930213,649.9876883841,642.2463971133,634.8113925115,627.6677957071,620.8020792866,614.2018389010,607.8556160707,601.7527793024,595.8833663040,590.2376488489,584.8065929515,579.5818320136,574.5555459849,569.7203746878,565.0693568837,560.5958854687,556.2936727474,552.1567221770,548.1793043651,544.3559360301,540.6813611376,537.1505337386,533.7586022559,530.5008950336,527.3729070621,524.3702878228,521.4888302016,518.7244604436,516.0732291030,513.5313029614,511.0949578548,508.7605723839,506.5246224329,504.3836764512,502.3343914618,500.3735097343,498.4978561095,496.7043359771,494.9899339575,493.3517134400,491.7868172351,490.2924698274,488.8659821829,487.5047605430,486.2063218430,484.9683202654,483.7885923000,482.6652334671,481.5967298318,480.5821857510,479.6059186058,478.6699428288,477.7748963495,476.9205186359,476.1059781355,475.3300905037,474.5914635042,482.3971656505
"Atmospheric Temperature rel. 1850-1900",0.9016530596,1.0056980310,1.1091320115,1.1827575185,1.2553664483,1.3311208387,1.4061279781,1.4807473497,1.5546191562,1.6273775306,1.6996023830,1.7708326704,1.8419680078,1.9132358547,1.9836194024,2.0537989292,2.1233580303,2.1915195989,2.2578157789,2.3223884934,2.3835334771,2.4403427843,2.4929493603,2.5411741908,2.5848237936,2.6236853680,2.6575226986,2.6860769395,2.7090731108,2.7263327070,2.7398903186,2.7449303907,2.7431630034,2.7366713027,2.7303884418,2.7244104100,2.7186479728,2.7130290961,2.7075009842,2.7020251314,2.6965735393,2.6911259914,2.6856680656,2.6801896662,2.6746839276,2.6691463877,2.6635743631,2.6579664733,2.6522572583,2.6465231534,2.6419280568,2.6383024232,2.6353195387,2.6327720060,2.6305343230,2.6285303462,2.6267134606,2.6250547806,2.6235361397,2.6221459131,2.6208765157,2.6197228918,2.6186815915,2.6177501983,2.6169269660,2.6162105830,2.6156000137,2.6150943895,2.6146929302,2.6143948862,2.6141994946,2.6141059464,2.6141133603,2.6142207632,2.6144270755,2.6147311009,2.6151315193,2.6156268833,2.6162156175,2.6168960207,2.6176662695,2.6185244263,2.6194684492,2.6204962058,2.6216054935,2.6227940675,2.6240596829,2.6254001599,2.6268134866,2.6282979857,2.6298525904,2.6314773089,2.6331740206,2.6348967027,2.6366531196,2.6384492578,2.6402881162,2.6421706365,2.6441334357,2.6462871064
"Ocean Temperature rel. 1850-1900",0.2063744874,0.2255862919,0.2469025637,0.2697297670,0.2938054115,0.3191479695,0.3457341817,0.3735208751,0.4024619644,0.4325034316,0.4636005149,0.4957052834,0.5287840086,0.5628141315,0.5977569200,0.6335798146,0.6702482815,0.7077117684,0.7459071743,0.7847722864,0.8242167344,0.8641242434,0.9043775422,0.9448599813,0.9854530954,1.0260362004,1.0664858937,1.1066755519,1.1464749637,1.1857520452,1.2244134109,1.2622953751,1.2992357701,1.3351258348,1.3699627935,1.4037798438,1.4366084133,1.4684772307,1.4994128583,1.5294401368,1.5585825164,1.5868623048,1.6143008532,1.6409186991,1.6667356737,1.6917709864,1.7160432879,1.7395707204,1.7623697854,1.7844574960,1.8058719310,1.8266552299,1.8468414225,1.8664576921,1.8855268466,1.9040688850,1.9221019401,1.9396428496,1.9567075042,1.9733110628,1.9894680894,2.0051926411,2.0204983274,2.0353983509,2.0499055369,2.0640323551,2.0777909364,2.0911930865,2.1042502967,2.1169737527,2.1293743424,2.1414626623,2.1532490232,2.1647434551,2.1759557119,2.1868952750,2.1975713574,2.2079929071,2.2181686107,2.2281068965,2.2378159381,2.2473036576,2.2565777295,2.2656455844,2.2745144129,2.2831911709,2.2916825848,2.2999951583,2.3081351817,2.3161087444,2.3239217529,2.3315799594,2.3390890062,2.3464535796,2.3536780695,2.3607669184,2.3677245531,2.3745553281,2.3812641551,2.3878580686
"Output Net Net) ",104.9747699187,125.1995485214,147.6449528150,172.3942374505,199.5008527962,229.0172358555,261.0001631744,295.5018834481,332.5737628709,372.2662181487,414.6257727720,459.6991628746,507.5264607704,558.1447046126,611.5932891762,667.9014732425,727.0981445514,789.2121161159,854.2687636542,922.2845335192,993.2886739982,1067.3082792223,1144.3584789633,1224.4516362495,1307.5956754818,1393.7934528723,1483.0411904350,1575.3250273942,1671.1025233488,1769.1295131556,1870.2716805450,1974.8409856987,2083.6388513839,2195.7920646171,2311.0096972809,2429.1147383537,2549.9658149469,2673.4410260916,2799.4293747559,2927.8255135934,3058.5265345427,3191.4300615947,3326.4331740743,3463.4318633959,3602.3208340818,3742.9935309814,3885.3423337977,4029.2588968541,4174.6381092627,4321.3694866331,4469.2806632015,4618.2465116626,4768.1593671306,4918.9148414078,5070.4093152022,5222.5392785130,5375.2013387645,5528.2925210163,5681.7106264869,5835.3546162350,5989.1249443914,6142.9238458240,6296.6555914568,6450.2266750186,6603.5459929217,6756.5249844108,6909.0777404904,7061.1211022966,7212.5747290129,7363.3611635099,7513.4058610748,7662.6372286466,7810.9865965405,7958.3882016591,8104.7791185500,8250.0990807806,8394.2902334554,8537.2966483453,8679.0634951503,8819.5355990480,8958.6548592970,9096.3558077220,9232.5578580845,9367.1514130456,9499.9738464958,9630.7670125965,9759.1018690005,9884.2460810106,10004.9276572487,10118.9090773626,10222.2104350941,10398.2771508684,10557.5949536711,10704.5022686673,10842.0655150940,10972.4628761143,11097.2458183923,11217.5216458603,11334.3903975649,11447.7952336813
"Climate Damages fraction output",0.0019186286,0.0023869713,0.0029032102,0.0033014402,0.0037192300,0.0041816431,0.0046661823,0.0051745660,0.0057037441,0.0062501240,0.0068172099,0.0074006021,0.0080071169,0.0086387126,0.0092860004,0.0099546925,0.0106404124,0.0113345092,0.0120306477,0.0127286324,0.0134077071,0.0140544441,0.0146669198,0.0152398564,0.0157679011,0.0162455908,0.0166673275,0.0170274220,0.0173202220,0.0175416205,0.0177165175,0.0177817571,0.0177588661,0.0176749128,0.0175938497,0.0175168925,0.0174428704,0.0173708434,0.0173001253,0.0172302180,0.0171607609,0.0170914955,0.0170222386,0.0169528633,0.0168832845,0.0168134482,0.0167433230,0.0166728944,0.0166013458,0.0165296401,0.0164722899,0.0164271096,0.0163899854,0.0163583127,0.0163305175,0.0163056454,0.0162831117,0.0162625537,0.0162437428,0.0162265321,0.0162108252,0.0161965574,0.0161836841,0.0161721740,0.0161620039,0.0161531564,0.0161456177,0.0161393761,0.0161344211,0.0161307431,0.0161283320,0.0161271778,0.0161272692,0.0161285945,0.0161311403,0.0161348922,0.0161398344,0.0161459494,0.0161532186,0.0161616217,0.0161711370,0.0161817416,0.0161934113,0.0162061209,0.0162198443,0.0162345550,0.0162502266,0.0162668334,0.0162843519,0.0163027627,0.0163220542,0.0163422279,0.0163633088,0.0163847263,0.0164065776,0.0164289382,0.0164518464,0.0164753150,0.0164998022,0.0165266917
"Consumption Per Capita ",10.4649417320,11.8194217273,13.2945961609,14.8984365744,16.6374326732,18.5176401761,20.5451036811,22.7255850200,25.0645974709,27.5673833512,30.2387946221,33.0833816835,36.1051956766,39.3078693755,42.6947978152,46.2688141058,50.0324278054,53.9879041661,58.1371915397,62.4817878429,67.0233430546,71.7633523912,76.7028092447,81.8424357290,87.1827883276,92.7244181825,98.4681391848,104.4155005036,110.5694599533,116.9217847903,123.4899974123,130.2912101848,137.3337812048,144.5996262559,152.0714996748,159.7362870224,167.5835750438,175.6045794890,183.7914629468,192.1369091787,200.6338608950,209.2753618474,218.0544643568,226.9641782708,235.9974456905,245.1471293355,254.4060072417,263.7667672211,273.2220630227,282.7642419917,292.3839781222,302.0728816488,311.8234419930,321.6285703460,331.4813594164,341.3749816296,351.3026537644,361.2576428003,371.2332766001,381.2229662051,391.2202253621,401.2186861480,411.2121192368,421.1944420077,431.1597313521,441.1022337735,451.0163709432,460.8967478811,470.7381554081,480.5355779124,490.2841920945,499.9793786202,509.6167189641,519.1920028511,528.7012442617,538.1406884762,547.5068463689,556.7965427991,566.0070052958,575.1360323796,584.1822668345,593.1456869652,602.0285294332,610.8367945232,619.5830131186,628.2911627939,637.0051049783,645.8038550534,654.8288530722,664.3326193964,659.3082459013,670.6640358424,680.9395706879,690.4146676671,699.2871026216,707.6973623084,715.7455118201,723.5029688812,731.0406827084,738.3549866988
"Carbon Price (per t CO2)",2.0125964256,14.3020176357,16.9829711303,20.0039646494,23.3828536206,27.1409906237,31.3010506217,35.8870893017,40.9257636782,46.4443338886,52.4726242894,59.0396639079,66.1728395387,73.9020391676,82.2549393360,91.2574006992,100.9360658339,111.3177580629,122.4258308496,134.2877850903,146.9372513922,160.4076541737,174.7307621671,189.9370112814,206.0550986762,223.1117403247,241.1318259389,260.1389542343,270.7022896028,301.1587280423,323.2164717707,335.8889910464,327.4917662702,319.3044721134,311.3218603106,303.5388138028,295.9503434578,288.5515848713,281.3377952495,274.3043503683,267.4467416091,260.7605730689,254.2415587421,247.8855197736,241.6883817793,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.3426984870,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.5313791650,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,0.0000000000,0.0000000000
