"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP1-26","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,31156.7812,"",33568.7805,"","","","","",29202.0764,"",20516.5143,"",15426.5607,"",10606.396999999999,"",6276.0138,"",4865.7869,"",3467.6523,"",2882.6223
"AIM/CGE 2.0","SSP1-26","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,4625.0331,"",3612.558,"","","","","",588.4322,"",-1085.1621,"",-1747.609,"",-1929.1854,"",-2175.8975,"",-2782.5674,"",-2840.6849,"",-2864.8846
"AIM/CGE 2.0","SSP1-26","World","Price|Carbon","US$2010/t CO2","",0,0.59037,"",15.6486,"","","","","",35.66255,"",104.26053,"",114.37151000000001,"",155.78673,"",286.28798,"",330.67045,"",409.00816000000003,"",423.88082
"AIM/CGE 2.0","SSP1-34","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,31156.7812,"",33568.7805,"","","","","",33515.9728,"",30911.1618,"",27057.6841,"",22441.5625,"",17992.2598,"",15099.4343,"",12669.6274,"",10955.5343
"AIM/CGE 2.0","SSP1-34","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,4625.0331,"",3612.558,"","","","","",1685.8128,"",363.7737,"",-581.6399,"",-935.9388,"",-1360.6218,"",-1612.4798,"",-1787.4348,"",-1917.7525
"AIM/CGE 2.0","SSP1-34","World","Price|Carbon","US$2010/t CO2","",0,0.59037,"",15.6717,"","","","","",7.8010899999999985,"",18.02911,"",30.04683,"",54.80464,"",77.72006,"",93.0798,"",105.30256000000001,"",112.68037
"AIM/CGE 2.0","SSP1-45","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,31156.7812,"",33020.7062,"","","","","",35720.4964,"",36655.6353,"",34694.4281,"",31986.5976,"",29042.2631,"",25841.1654,"",22989.7294,"",20526.4502
"AIM/CGE 2.0","SSP1-45","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,4625.0331,"",3567.9254,"","","","","",3738.4057,"",1792.4448,"",335.6484,"",-56.7064,"",-615.2245,"",-1051.0106,"",-1445.0667,"",-1788.3156
"AIM/CGE 2.0","SSP1-45","World","Price|Carbon","US$2010/t CO2","",0,0.59037,"",35.985620000000004,"","","","","",1.1364100000000001,"",0.19371,"",1.24311,"",5.78127,"",14.519229999999999,"",23.81093,"",33.43527,"",42.8582
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,31258.0986,"",35206.4959,"","","","","",38940.7132,"",40131.3974,"",39232.7005,"",37871.8645,"",35581.7488,"",33613.2121,"",32016.1553,"",30603.9574
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,4630.6506,"",3923.8384,"","","","","",2930.4692,"",1981.4115,"",959.1621,"",959.7507,"",353.3714,"",-146.9201,"",-413.2458,"",-724.1519999999999
"AIM/CGE 2.0","SSP4-26","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32269.222,"",38801.8776,"","","","","",31606.5367,"",21223.3657,"",14725.1326,"",8794.1728,"",4277.6202,"",1778.0882,"",146.1055,"",-939.0569
"AIM/CGE 2.0","SSP4-26","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,5928.9935,"",6016.1861,"","","","","",3361.0006,"",1195.7057,"",491.0401,"",210.3288,"",-978.8988,"",-1105.9099,"",-1697.892,"",-1846.2411
"AIM/CGE 2.0","SSP4-26","World","Price|Carbon","US$2010/t CO2","",0,0,"",0,"","","","","",45.276,"",89.61095,"",77.14475999999998,"",93.01567,"",146.8665,"",206.71607,"",264.60082,"",325.74267000000003
"AIM/CGE 2.0","SSP4-34","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32269.222,"",38801.8776,"","","","","",37496.3004,"",33141.9952,"",28017.412999999997,"",21473.4377,"",16051.2864,"",12172.1818,"",9128.6931,"",6681.0398
"AIM/CGE 2.0","SSP4-34","World","Emissions|CO2|AFOLU","Mt CO2/yr","",4777.8507,5928.9935,"",6016.1861,"","","","","",3939.3289,"",2591.4774,"",1201.5558,"",1298.7237,"",615.9406,"",349.7088,"",-95.6889,"",-353.6556
"AIM/CGE 2.0","SSP4-34","World","Price|Carbon","US$2010/t CO2","",0,0,"",0,"","","","","",14.02599,"",24.95988,"",28.94045,"",40.78855,"",49.42091,"",55.55506,"",63.74995,"",70.4671
