mitigation,carbon_price
-1146.420677,5.350277673
-1091.647582,120.3815385
-142.2472609,51.60629448
-142.2472609,47.25466867
-114.8607132,1.797983609
116.6800993,199.4586052
400.0063838,49.76858893
451.1279395,65.23381265
432.8702411,44.29454203
451.1279395,6.767679438
448.0849898,48.24359091
499.054398,3.563856313
598.0194227,1.386692543
594.1465776,33.4500896
634.7192409,5.528730353
642.8337736,22.7409978
658.0485223,200.5025474
648.919673,198.0179636
642.8337736,50.62807058
624.5760751,15.58995659
615.4472258,13.10537282
703.6927685,5.405037652
768.811893,167.0552941
770.6376629,22.06972352
748.7284247,199.1780445
882.7920964,6.160528624
868.0120548,0.914172845
907.5704015,47.45939011
925.8280999,-1.178866143
1012.552168,111.7299809
1062.760839,15.11966018
1081.018537,39.24082989
1130.314323,63.48816069
1135.791632,4.463086375
1164.482301,198.9345336
1204.258002,60.81270943
1208.822426,24.87223761
1224.471882,71.34471873
1208.822426,4.902032813
1303.4305,186.3247356
1376.461294,109.1631255
1373.141713,50.17000909
1464.430205,14.29568801
1504.265183,239.3436635
1534.141417,20.84667612
1588.020779,15.09846202
1724.251299,17.19152413
1849.363348,18.36421628
1838.713024,15.42513015
1930.001516,86.6236617
1948.259215,20.78496806
2030.418858,14.32730733
2094.320802,17.47660729
2112.578501,14.6880018
2286.026636,23.53913972
2300.964753,37.92149546
2346.885631,27.73042252
2398.615777,23.64765254
2541.634415,78.61361021
2556.572532,27.33353274
2564.456538,22.28560053
2651.180606,41.10569137
2687.696003,69.18388167
2695.303377,12.33367792
2705.953701,113.5479904
2716.90832,38.70326943
2746.682413,49.74304016
2781.266708,44.16473301
2797.242194,199.3347717
2797.242194,91.05929107
2801.455509,62.31948117
2797.242194,57.78138857
2805.356726,13.8146111
2792.677769,39.20965168
2848.695708,77.45654606
2858.861926,68.11710044
2852.015289,32.20734229
2842.88644,11.14652857
2872.5552,72.71521037
2848.972339,51.08671956
2824.628742,48.48146709
2921.394543,63.38746135
2939.9842,210.2665617
2947.517097,199.2501178
2939.090467,191.0823806
2939.9842,163.7199235
2998.076877,107.0827879
3002.290192,46.79672122
3020.547891,73.78975883
3021.551061,59.56558486
3013.014994,25.59808555
3030.940734,199.3142558
3075.320986,13.31072905
3084.148884,56.78404492
3071.107671,47.38167685
3089.365369,60.10861742
3166.609478,82.4280888
3159.076582,20.3916049
3107.623068,16.95534913
3144.138465,13.92365742
3220.212209,98.13518759
3253.684656,73.13334953
3276.155669,110.8724298
3295.677362,102.2477331
3290.200053,93.78821057
3264.117626,83.47955824
3299.328902,120.8096901
3332.192759,127.1561458
3326.71545,82.46429698
3326.71545,17.9604922
3326.71545,1.250110563
3344.973148,25.73492588
3344.973148,23.18940661
3359.911265,164.0684855
3326.71545,14.28074495
3368.447332,111.9960165
3381.488545,98.96274915
3399.746244,67.76433031
3436.26164,84.61193199
3438.869883,161.4492901
3494.354317,171.3255491
3509.292434,95.03381627
3513.505749,37.49140914
3533.636032,166.2367727
3533.636032,121.7911981
3550.021146,183.6196876
3559.852215,208.7108816
3567.385111,129.1730937
3545.807831,125.0029637
3582.323228,198.0338123
3624.315935,188.6744902
3642.573633,212.819903
3626.141705,37.39785055
3655.354022,119.1200915
3673.611721,23.63215907
3691.869419,111.3913107
3715.604427,34.77638869
3787.371227,45.31393902
3805.628925,215.61132
3797.202295,22.54377611
3819.673308,202.2072113
3863.79608,90.47551253
3874.446404,75.20201432
3915.175116,61.05800059
3913.770678,45.30939881
3925.899918,219.2561709
3920.09065,215.4766692
3932.539081,184.4451299
3945.448565,180.3435518
3947.477198,168.9896549
3947.477198,161.7167427
3947.477198,157.0095523
3942.912773,132.4434349
3950.796779,127.583524
3947.477198,105.957749
3957.435942,68.09967929
3943.263883,34.98639863
3965.734896,137.7457803
3977.906695,64.03639808
3965.734896,41.09830104
3961.67763,91.43161703
3988.557019,71.89480122
4044.85159,62.03394259
4042.979005,49.35148066
4043.330115,43.84666606
4011.379142,166.6236631
4057.023389,58.74915058
4047.894539,54.86193374
4096.858367,202.9851538
4081.366987,66.31556816
4047.894539,41.52826134
4111.796484,70.46176676
4130.054183,238.8290288
4134.267498,34.58791952
4144.660341,234.5478758
4148.311881,120.0114987
4166.56958,109.7075506
4111.796484,44.79877651
4157.44073,232.0746266
4194.786023,73.25932928
4203.084976,245.6793936
4251.772172,150.9378619
4244.579746,35.63674934
4294.373469,189.9171209
4298.586784,180.2920162
4294.373469,143.1583562
4294.373469,133.8247855
4294.373469,105.3392126
4303.502318,147.8854212
4266.986921,73.88485101
4411.527034,79.06160915
4390.878447,180.3246661
4422.177358,152.7600704
4422.177358,47.06041284
4458.692755,248.8218076
4449.563906,226.900366
4495.208152,199.2737815
4491.556612,78.2405319
4583.177063,233.5139168
4595.625494,192.7124321
4641.26974,47.62831536
4681.104718,178.9635576
4718.513849,70.34406722
4736.771547,199.2138213
4750.815931,89.66008148
4750.815931,56.86703978
4787.331328,183.4750083
4793.970491,113.1561773
4785.302695,108.4933765
4787.331328,98.1698088
4801.53176,133.2611002
4801.024602,120.6244334
4816.543645,86.04723914
4820.527143,157.1728717
4828.06004,127.5164115
4846.668848,136.6838084
4819.2823,69.54672118
4860.362122,199.1394502
4871.316741,117.9854779
4886.227195,163.036593
4881.66277,142.7736154
4878.61982,139.5615218
4842.104423,91.80404318
4878.61982,67.31726044
4906.836263,153.2688458
4911.815636,170.6575389
4915.135217,148.6513504
4900.934785,113.0954008
4860.362122,110.5917439
4915.135217,106.1351178
4933.392916,86.58851039
4959.765147,131.6392138
4933.392916,128.5289708
4896.877519,125.863548
4946.671242,40.80174517
4974.121628,194.9534395
4969.908313,187.3897621
4973.227894,176.29184
4988.166011,200.3556698
4988.166011,182.8487311
5001.859285,179.9823655
4942.521765,117.861705
5006.423709,163.8346048
5006.423709,160.4059462
4988.166011,143.7698153
4982.080112,139.7396283
4993.145383,66.58585551
4999.12063,157.0243043
4979.037162,154.0431317
5006.423709,148.5268562
5047.918479,86.48522061
5042.939106,133.0099985
5075.802964,128.6208277
5049.025006,194.4658881
5101.925517,113.6600684
5115.9699,181.6449757
5079.454503,161.4942598
5136.053369,125.1640302
5178.35037,172.6122024
5165.265686,145.0543958
5172.771629,118.13627
5189.000694,137.5200184
5216.387242,223.0787861
5233.123466,214.3133156
5229.729406,196.5946498
5243.77379,201.4893747
5243.77379,180.7615749
5198.129543,142.3379948
5259.749276,207.9889661
5268.117388,176.205029
5290.722157,204.578676
5316.804584,230.2753623
5301.155128,218.4747585
5289.418036,174.3961371
5349.106665,104.0845129
5371.577679,247.8495994
5408.093076,191.6953447
5575.731944,93.04494148
5608.927759,205.506664
5733.412067,209.4389318
5905.26425,209.4098722
5988.687888,210.2628415
