"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP1-45","World","Emissions|BC","Mt BC/yr","",8.3348,7.3378,"",5.9729,"","","","","",4.6938,"",3.8395,"",3.0096,"",2.6538,"",2.3701,"",2.1430000000000002,"",1.9512,"",1.787
"AIM/CGE 2.0","SSP1-45","World","Emissions|VOC","Mt VOC/yr","",210.2173,198.0721,"",178.9481,"","","","","",159.0617,"",144.2176,"",127.0551,"",109.6242,"",93.1366,"",77.6417,"",62.7186,"",48.4499
"AIM/CGE 2.0","SSP1-45","World","Emissions|CH4","Mt CH4/yr","",350.2723,368.2768,"",371.9853,"","","","","",376.9849,"",446.841,"",387.23400000000004,"",296.4033,"",244.3147,"",217.3568,"",196.3462,"",177.7572
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|OC","Mt OC/yr","",38.0662,35.2185,"",30.4922,"","","","","",26.265,"",22.4273,"",19.1036,"",17.5418,"",16.2045,"",15.0404,"",14.054,"",13.17
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|CO","Mt CO/yr","",950.7368,870.7330000000001,"",768.8208,"","","","","",664.9551,"",573.8649,"",488.4479,"",444.4856,"",404.6857,"",369.1873,"",338.0594,"",309.5686
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|N2O","kt N2O/yr","",8950.4279,9535.9274,"",10683.5064,"","","","","",11812.9734,"",12780.3619,"",13477.4349,"",13903.6895,"",14059.5156,"",13981.6173,"",13678.7585,"",13179.9545
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,31258.0986,"",35206.4959,"","","","","",38940.7132,"",40131.3974,"",39232.7005,"",37871.8645,"",35581.7488,"",33613.2121,"",32016.1553,"",30603.9574
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|NH3","Mt NH3/yr","",52.6096,54.2232,"",57.0459,"","","","","",59.5771,"",61.5923,"",62.6255,"",62.7472,"",62.1885,"",61.0698,"",59.5666,"",57.6471
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|NOx","Mt NO2/yr","",123.3375,111.4768,"",95.7789,"","","","","",74.2494,"",61.3451,"",46.8501,"",42.4854,"",37.7856,"",33.5572,"",29.8345,"",26.5109
"AIM/CGE 2.0","SSP1-Baseline","World","Emissions|Sulfur","Mt SO2/yr","",119.3537,94.8283,"",74.8254,"","","","","",51.3513,"",37.7692,"",24.0843,"",20.3475,"",16.8647,"",14.0124,"",11.6118,"",9.4856
