T1,damfrac
0,0
0.8,0
0.940727174,-1.803053486
1.057705438,-3.549876039
1.141762511,-4.720934833
1.225819233,-5.880945903
1.309875955,-7.040956973
1.393927747,-8.0462999
1.477977426,-8.98535648
1.562025345,-9.869174438
1.646072559,-10.73089695
1.730118013,-11.53738083
1.814162411,-12.31072155
1.898204696,-13.01777591
1.982247685,-13.74692573
2.0662868,-14.35455057
2.150326972,-14.99531859
2.234364328,-15.54770482
2.318401331,-16.08904332
2.402437982,-16.61933409
2.486473576,-17.11648169
2.57050741,-17.55839067
2.654541244,-18.00029965
2.73857367,-18.39801773
2.822605743,-18.78468809
2.906637112,-19.14926299
2.990667777,-19.49174245
3.074696681,-19.77898329
3.158725586,-20.06622413
3.24275449,-20.35346496
3.326782338,-20.60756263
3.410809482,-20.83956484
3.494836625,-21.07156705
3.578862713,-21.27042609
3.662888096,-21.44718969
3.74691207,-21.57976238
3.830938862,-21.80071687
3.914961428,-21.88909866
3.998986811,-22.06586226
4.083007969,-22.11005315
4.167034056,-22.30891219
4.251053806,-22.30891219
4.335077428,-22.43043716
4.419101051,-22.55196213
4.5031208,-22.55196213
4.587140549,-22.55196213
4.671164172,-22.6734871
4.755187794,-22.79501207
4.839207543,-22.79501207
4.923227293,-22.79501207
4.980513485,-22.79501207
